"","UV radiation"
"Countries, territories and areas"," 2004"
"Afghanistan","4132"
"Albania","2542"
"Algeria","3253"
"Andorra","2469"
"Angola","5287"
"Antigua and Barbuda","5148"
"Argentina","3476"
"Armenia","2899"
"Australia","3206"
"Austria","1888"
"Azerbaijan","2702"
"Bahamas","4119"
"Bahrain","4419"
"Bangladesh","4029"
"Barbados","5787"
"Belarus","1795"
"Belgium","1645"
"Belize","4639"
"Benin","5168"
"Bhutan","4180"
"Bolivia (Plurinational State of)","5344"
"Bosnia and Herzegovina","2205"
"Botswana","4868"
"Brazil","4552"
"Brunei Darussalam","5148"
"Bulgaria","2331"
"Burkina Faso","5567"
"Burundi","5111"
"Cote d'Ivoire","4931"
"Cabo Verde","5372"
"Cambodia","5152"
"Cameroon","5185"
"Canada","1887"
"Central African Republic","5498"
"Chad","5669"
"Chile","3982"
"China","2908"
"Colombia","5385"
"Comoros","5524"
"Congo","4943"
"Cook Islands","4708"
"Costa Rica","4884"
"Croatia","1976"
"Cuba","4401"
"Cyprus","3439"
"Czechia","1707"
"Democratic People's Republic of Korea","2335"
"Democratic Republic of the Congo","5100"
"Denmark","1691"
"Djibouti","5461"
"Dominica","5464"
"Dominican Republic","4880"
"Ecuador","4929"
"Egypt","4202"
"El Salvador","5364"
"Equatorial Guinea","4635"
"Eritrea","5914"
"Estonia","1781"
"Eswatini","3900"
"Ethiopia","5929"
"Fiji","4431"
"Finland","1494"
"France","1907"
"Gabon","4654"
"Gambia","5358"
"Georgia","2489"
"Germany","1812"
"Ghana","5166"
"Greece","2753"
"Grenada","4875"
"Guatemala","5141"
"Guinea","5391"
"Guinea-Bissau","5319"
"Guyana","5203"
"Haiti","5016"
"Honduras","4924"
"Hungary","1932"
"Iceland","957"
"India","4514"
"Indonesia","5220"
"Iran (Islamic Republic of)","4038"
"Iraq","3825"
"Ireland","1509"
"Israel","3682"
"Italy","2444"
"Jamaica","4942"
"Japan","2521"
"Jordan","4026"
"Kazakhstan","2257"
"Kenya","5803"
"Kiribati","6229"
"Kuwait","4214"
"Kyrgyzstan","3094"
"Lao People's Democratic Republic","4735"
"Latvia","1671"
"Lebanon","2953"
"Lesotho","4439"
"Liberia","4926"
"Libya","3861"
"Lithuania","1801"
"Luxembourg","1687"
"Madagascar","4771"
"Malawi","5019"
"Malaysia","5225"
"Maldives","10224"
"Mali","5617"
"Malta","3091"
"Marshall Islands","5325"
"Mauritania","5547"
"Mauritius","5055"
"Mexico","4974"
"Micronesia (Federated States of)","4587"
"Monaco","1907"
"Mongolia","2226"
"Morocco","3568"
"Mozambique","4646"
"Myanmar","4565"
"Namibia","5305"
"Nauru","3022"
"Nepal","4130"
"Netherlands (Kingdom of the)","1662"
"New Zealand","2487"
"Nicaragua","5078"
"Niger","5811"
"Nigeria","5251"
"Niue","4687"
"North Macedonia","2403"
"Norway","1439"
"Oman","5102"
"Pakistan","4227"
"Palau","5175"
"Panama","4898"
"Papua New Guinea","5377"
"Paraguay","4038"
"Peru","5906"
"Philippines","4928"
"Poland","1749"
"Portugal","2585"
"Qatar","4905"
"Republic of Korea","2535"
"Republic of Moldova","1910"
"Romania","2071"
"Russian Federation","1795"
"Rwanda","5130"
"Saint Kitts and Nevis","5009"
"Saint Lucia","5164"
"Saint Vincent and the Grenadines","5358"
"Samoa","4966"
"San Marino","1932"
"Sao Tome and Principe","4422"
"Saudi Arabia","5384"
"Senegal","5356"
"Seychelles","5570"
"Sierra Leone","5087"
"Singapore","3979"
"Slovakia","1795"
"Slovenia","2256"
"Solomon Islands","4071"
"Somalia","5773"
"South Africa","4111"
"Spain","2705"
"Sri Lanka","5264"
"Sudan","5783"
"Suriname","4799"
"Sweden","1587"
"Switzerland","2158"
"Syrian Arab Republic","3501"
"Turkiye","2924"
"Tajikistan","3538"
"Thailand","4862"
"Timor-Leste","5637"
"Togo","5307"
"Tonga","4087"
"Trinidad and Tobago","5245"
"Tunisia","3262"
"Turkmenistan","3164"
"Tuvalu","5465"
"Uganda","5499"
"Ukraine","1843"
"United Arab Emirates","4862"
"United Kingdom of Great Britain and Northern Ireland","1576"
"United Republic of Tanzania","5483"
"United States of America","2736"
"Uruguay","3235"
"Uzbekistan","3172"
"Vanuatu","4555"
"Venezuela (Bolivarian Republic of)","5211"
"Viet Nam","4293"
"Yemen","6089"
"Zambia","5265"
"Zimbabwe","4918"
